"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-20",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-20",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-29",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-11-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-12-31",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-20",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-29",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-01-31",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-20",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-02-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-20",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-29",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-03-31",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-29",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-04-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2025-05-15",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-01",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-02",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-03",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-04",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-05",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-06",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-07",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-08",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-09",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-10",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-11",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-12",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-13",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-14",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-15",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-16",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-17",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-18",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-19",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-20",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-21",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-22",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-23",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-24",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-25",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-26",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-27",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-28",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-29",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-30",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-08-31",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-01",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-02",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-03",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-04",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-05",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-06",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-07",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-08",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-09",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-10",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-11",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-12",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-13",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-14",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-15",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-16",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-17",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-18",,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","2024-09-19",,,
